NAMESPACE     NAME                                      READY   STATUS    RESTARTS      AGE
alpha         alpha                                     1/1     Running   0             26d
alpha         bravo                                     1/1     Running   1 (55m ago)   26d
alpha         charlie                                   1/1     Running   0             26d
alpha         delta                                     1/1     Running   1 (55m ago)   26d
alpha         echo                                      1/1     Running   1 (55m ago)   26d
alpha         foxtrot                                   1/1     Running   0             26d
alpha         golf                                      1/1     Running   0             26d
alpha         hotel                                     1/1     Running   0             26d
alpha         india                                     1/1     Running   0             26d
alpha         juliet                                    1/1     Running   0             26d
alpha         kilo                                      1/1     Running   0             26d
alpha         lima                                      1/1     Running   1 (55m ago)   26d
alpha         mike                                      1/1     Running   1 (55m ago)   26d
alpha         november                                  1/1     Running   0             26d
alpha         oscar                                     1/1     Running   0             26d
alpha         papa                                      1/1     Running   0             26d
alpha         quebec                                    1/1     Running   0             26d
alpha         romeo                                     1/1     Running   0             26d
alpha         sierra                                    1/1     Running   0             26d
alpha         tango                                     1/1     Running   1 (55m ago)   26d
alpha         uniform                                   1/1     Running   0             26d
alpha         victor                                    1/1     Running   0             26d
alpha         whiskey                                   1/1     Running   0             26d
alpha         xray                                      1/1     Running   0             26d
alpha         yankee                                    1/1     Running   0             26d
alpha         zulu                                      1/1     Running   0             26d
bravo         alpha                                     1/1     Running   0             26d
bravo         bravo                                     1/1     Running   0             26d
bravo         charlie                                   1/1     Running   0             26d
bravo         delta                                     1/1     Running   1 (55m ago)   26d
bravo         echo                                      1/1     Running   0             26d
bravo         foxtrot                                   1/1     Running   1 (55m ago)   26d
bravo         golf                                      1/1     Running   0             26d
bravo         hotel                                     1/1     Running   0             26d
bravo         india                                     1/1     Running   0             26d
bravo         juliet                                    1/1     Running   0             26d
bravo         kilo                                      1/1     Running   0             26d
bravo         lima                                      1/1     Running   0             26d
bravo         mike                                      1/1     Running   0             26d
bravo         november                                  1/1     Running   0             26d
bravo         oscar                                     1/1     Running   0             26d
bravo         papa                                      1/1     Running   1 (55m ago)   26d
bravo         quebec                                    1/1     Running   0             26d
bravo         romeo                                     1/1     Running   0             26d
bravo         sierra                                    1/1     Running   0             26d
bravo         tango                                     1/1     Running   0             26d
bravo         uniform                                   1/1     Running   0             26d
bravo         victor                                    1/1     Running   0             26d
bravo         whiskey                                   1/1     Running   0             26d
bravo         xray                                      1/1     Running   0             26d
bravo         yankee                                    1/1     Running   0             26d
bravo         zulu                                      1/1     Running   0             26d
charlie       alpha                                     1/1     Running   0             26d
charlie       bravo                                     1/1     Running   1 (55m ago)   26d
charlie       charlie                                   1/1     Running   1 (55m ago)   26d
charlie       delta                                     1/1     Running   1 (55m ago)   26d
charlie       echo                                      1/1     Running   0             26d
charlie       foxtrot                                   1/1     Running   0             26d
charlie       golf                                      1/1     Running   1 (55m ago)   26d
charlie       hotel                                     1/1     Running   1 (55m ago)   26d
charlie       india                                     1/1     Running   0             26d
charlie       juliet                                    1/1     Running   0             26d
charlie       kilo                                      1/1     Running   1 (55m ago)   26d
charlie       lima                                      1/1     Running   0             26d
charlie       mike                                      1/1     Running   1 (55m ago)   26d
charlie       november                                  1/1     Running   0             26d
charlie       oscar                                     1/1     Running   0             26d
charlie       papa                                      1/1     Running   1 (55m ago)   26d
charlie       quebec                                    1/1     Running   0             26d
charlie       romeo                                     1/1     Running   0             26d
charlie       sierra                                    1/1     Running   1 (55m ago)   26d
charlie       tango                                     1/1     Running   1 (55m ago)   26d
charlie       uniform                                   1/1     Running   1 (55m ago)   26d
charlie       victor                                    1/1     Running   0             26d
charlie       whiskey                                   1/1     Running   0             26d
charlie       xray                                      1/1     Running   0             26d
charlie       yankee                                    1/1     Running   0             26d
charlie       zulu                                      1/1     Running   1 (55m ago)   26d
delta         alpha                                     1/1     Running   0             26d
delta         bravo                                     1/1     Running   0             26d
delta         charlie                                   1/1     Running   0             26d
delta         delta                                     1/1     Running   0             26d
delta         echo                                      1/1     Running   1 (55m ago)   26d
delta         foxtrot                                   1/1     Running   0             26d
delta         golf                                      1/1     Running   0             26d
delta         hotel                                     1/1     Running   0             26d
delta         india                                     1/1     Running   0             26d
delta         juliet                                    1/1     Running   0             26d
delta         kilo                                      1/1     Running   0             26d
delta         lima                                      1/1     Running   0             26d
delta         mike                                      1/1     Running   0             26d
delta         november                                  1/1     Running   0             26d
delta         oscar                                     1/1     Running   1 (55m ago)   26d
delta         papa                                      1/1     Running   1 (55m ago)   26d
delta         quebec                                    1/1     Running   0             26d
delta         romeo                                     1/1     Running   0             26d
delta         sierra                                    1/1     Running   1 (55m ago)   26d
delta         tango                                     1/1     Running   1 (55m ago)   26d
delta         uniform                                   1/1     Running   1 (55m ago)   26d
delta         victor                                    1/1     Running   1             26d
delta         whiskey                                   1/1     Running   0             26d
delta         xray                                      1/1     Running   0             26d
delta         yankee                                    1/1     Running   0             26d
delta         zulu                                      1/1     Running   0             26d
echo          alpha                                     1/1     Running   1 (55m ago)   26d
echo          bravo                                     1/1     Running   1 (55m ago)   26d
echo          charlie                                   1/1     Running   0             26d
echo          delta                                     1/1     Running   1 (55m ago)   26d
echo          echo                                      1/1     Running   0             26d
echo          foxtrot                                   1/1     Running   0             26d
echo          golf                                      1/1     Running   0             26d
echo          hotel                                     1/1     Running   0             26d
echo          india                                     1/1     Running   0             26d
echo          juliet                                    1/1     Running   0             26d
echo          kilo                                      1/1     Running   0             26d
echo          lima                                      1/1     Running   0             26d
echo          mike                                      1/1     Running   0             26d
echo          november                                  1/1     Running   0             26d
echo          oscar                                     1/1     Running   0             26d
echo          papa                                      1/1     Running   0             26d
echo          quebec                                    1/1     Running   1 (55m ago)   26d
echo          romeo                                     1/1     Running   0             26d
echo          sierra                                    1/1     Running   0             26d
echo          tango                                     1/1     Running   0             26d
echo          uniform                                   1/1     Running   1 (55m ago)   26d
echo          victor                                    1/1     Running   1 (55m ago)   26d
echo          whiskey                                   1/1     Running   0             26d
echo          xray                                      1/1     Running   0             26d
echo          yankee                                    1/1     Running   1             26d
echo          zulu                                      1/1     Running   0             26d
foxtrot       alpha                                     1/1     Running   1 (55m ago)   26d
foxtrot       bravo                                     1/1     Running   0             26d
foxtrot       charlie                                   1/1     Running   1 (55m ago)   26d
foxtrot       delta                                     1/1     Running   1 (55m ago)   26d
foxtrot       echo                                      1/1     Running   1 (55m ago)   26d
foxtrot       foxtrot                                   1/1     Running   1 (55m ago)   26d
foxtrot       golf                                      1/1     Running   1 (55m ago)   26d
foxtrot       hotel                                     1/1     Running   1             26d
foxtrot       india                                     1/1     Running   1 (55m ago)   26d
foxtrot       juliet                                    1/1     Running   0             26d
foxtrot       kilo                                      1/1     Running   0             26d
foxtrot       lima                                      1/1     Running   0             26d
foxtrot       mike                                      1/1     Running   0             26d
foxtrot       november                                  1/1     Running   1 (55m ago)   26d
foxtrot       oscar                                     1/1     Running   0             26d
foxtrot       papa                                      1/1     Running   0             26d
foxtrot       quebec                                    1/1     Running   0             26d
foxtrot       romeo                                     1/1     Running   0             26d
foxtrot       sierra                                    1/1     Running   0             26d
foxtrot       tango                                     1/1     Running   0             26d
foxtrot       uniform                                   1/1     Running   0             26d
foxtrot       victor                                    1/1     Running   1 (55m ago)   26d
foxtrot       whiskey                                   1/1     Running   1 (55m ago)   26d
foxtrot       xray                                      1/1     Running   1             26d
foxtrot       yankee                                    1/1     Running   0             26d
foxtrot       zulu                                      1/1     Running   0             26d
golf          alpha                                     1/1     Running   0             26d
golf          bravo                                     1/1     Running   0             26d
golf          charlie                                   1/1     Running   0             26d
golf          delta                                     1/1     Running   0             26d
golf          echo                                      1/1     Running   1 (55m ago)   26d
golf          foxtrot                                   1/1     Running   0             26d
golf          golf                                      1/1     Running   0             26d
golf          hotel                                     1/1     Running   0             26d
golf          india                                     1/1     Running   0             26d
golf          juliet                                    1/1     Running   0             26d
golf          kilo                                      1/1     Running   0             26d
golf          lima                                      1/1     Running   0             26d
golf          mike                                      1/1     Running   0             26d
golf          november                                  1/1     Running   0             26d
golf          oscar                                     1/1     Running   0             26d
golf          papa                                      1/1     Running   0             26d
golf          quebec                                    1/1     Running   1 (55m ago)   26d
golf          romeo                                     1/1     Running   1 (55m ago)   26d
golf          sierra                                    1/1     Running   1 (55m ago)   26d
golf          tango                                     1/1     Running   0             26d
golf          uniform                                   1/1     Running   1 (55m ago)   26d
golf          victor                                    1/1     Running   1 (55m ago)   26d
golf          whiskey                                   1/1     Running   0             26d
golf          xray                                      1/1     Running   0             26d
golf          yankee                                    1/1     Running   0             26d
golf          zulu                                      1/1     Running   0             26d
hotel         alpha                                     1/1     Running   0             26d
hotel         bravo                                     1/1     Running   0             26d
hotel         charlie                                   1/1     Running   1 (55m ago)   26d
hotel         delta                                     1/1     Running   1 (55m ago)   26d
hotel         echo                                      1/1     Running   0             26d
